#time,accel_x,accel_y,accel_z
89.376207,-2220.617826,-77277.500345,459.657299
89.378655,2072.576638,-74760.800142,-1838.629195
89.381103,0.000000,-78905.953417,1532.190996
89.383551,-2220.617826,-76537.294403,0.000000
89.385999,2516.700203,-76093.170838,-1532.190996
89.388447,-2220.617826,-79053.994606,1225.752797
89.390894,5181.441594,-75204.923707,-919.314598
89.393342,11695.253884,-75204.923707,-1991.848295
89.395790,-3849.070898,-78313.788664,1991.848295
89.398238,2516.700203,-74316.676577,-766.095498
89.400686,2516.700203,-76537.294403,2604.724693
89.403134,-740.205942,-78313.788664,8580.269578
89.405582,2220.617826,-76241.212026,6128.763984
89.408029,5773.606348,-76981.417968,5515.887586
89.410477,-2072.576638,-77425.541533,3370.820191
89.412975,1480.411884,-76685.335591,-1685.410096
89.415473,4885.359217,-76537.294403,-3370.820191
89.417970,-592.164754,-76833.376780,1685.410096
89.420468,4885.359217,-75649.047272,459.657299
89.422965,888.247130,-77129.459156,4443.353888
89.425463,-6661.853478,-75204.923707,2145.067394
89.427961,-592.164754,-74168.635388,-5975.544884
89.430458,-888.247130,-78165.747475,-4443.353888
89.432956,-6809.894666,-76833.376780,-7048.078582
89.435454,-2664.741391,-75945.129649,-7814.174080
89.437951,-3404.947333,-76093.170838,-1532.190996
89.440449,-5921.647536,-76981.417968,2604.724693
89.442947,148.041188,-75056.882519,0.000000
89.445444,444.123565,-76685.335591,-459.657299
89.447942,-6513.812290,-77277.500345,-1685.410096
89.450440,5625.565159,-73132.347070,-9193.145976
89.452937,6513.812290,-78461.829852,-5209.449386
89.455435,-2664.741391,-77277.500345,-1991.848295
89.457933,4589.276840,-76981.417968,2911.162892
89.460430,-8290.306550,-79350.076982,5669.106685
89.462928,2664.741391,-79350.076982,-919.314598
89.465425,-2220.617826,-75797.088461,-3064.381992
89.467923,-3108.864956,-78461.829852,-2451.505594
89.470421,-3701.029710,-81274.612432,-4290.134789
89.472918,-888.247130,-76685.335591,-3524.039291
89.475416,-1776.494261,-78165.747475,-1532.190996
89.477914,-5773.606348,-76833.376780,919.314598
89.480411,1924.535449,-74760.800142,-3983.696590
89.482909,-2220.617826,-77425.541533,1838.629195
89.485407,-1776.494261,-74760.800142,-4596.572988
89.487904,-2516.700203,-76685.335591,-2145.067394
89.490402,-5773.606348,-76537.294403,-5822.325785
89.492900,-5181.441594,-77721.623910,-1072.533697
89.495397,296.082377,-74316.676577,-5669.106685
89.497895,888.247130,-78313.788664,1532.190996
89.500392,-1184.329507,-78313.788664,4136.915689
89.502890,-888.247130,-76981.417968,306.438199
89.505388,-4737.318029,-79646.159359,2604.724693
89.507885,740.205942,-75352.964896,-3370.820191
89.510383,4885.359217,-77869.665098,-2757.943793
89.512910,-2516.700203,-77869.665098,766.095498
89.515438,-740.205942,-75649.047272,4749.792088
89.517965,1332.370696,-75204.923707,153.219100
89.520493,-740.205942,-78165.747475,10418.898773
89.523020,6069.688724,-73872.553012,-612.876398
89.525548,4885.359217,-76685.335591,1072.533697
89.528075,-6661.853478,-77573.582722,-1072.533697
89.530602,2812.782580,-76093.170838,-3064.381992
89.533130,5329.482782,-77129.459156,-766.095498
89.535657,-2220.617826,-77573.582722,5056.230287
89.538185,2516.700203,-75501.006084,1991.848295
89.540712,148.041188,-78757.912229,7967.393179
89.543239,888.247130,-77869.665098,4903.011187
89.545767,8586.388927,-76093.170838,1532.190996
89.548294,-5921.647536,-80386.365301,1072.533697
89.550822,-10955.047942,-77721.623910,2911.162892
89.553349,3256.906145,-77129.459156,1532.190996
89.555876,-740.205942,-79498.118171,4596.572988
89.558404,-4737.318029,-78905.953417,3677.258390
89.560931,6365.771101,-76537.294403,-1072.533697
89.563459,0.000000,-80386.365301,1072.533697
89.565986,-1332.370696,-76981.417968,4136.915689
89.568513,2072.576638,-75649.047272,3830.477490
89.571041,1184.329507,-78017.706287,7814.174080
89.573568,1036.288319,-75649.047272,8733.488677
